Regions,Drones,AVs,Throughput,Delay,Jitter,PDR
1,5,5,41.8959,2.14218,1.36118,0.900303
1,5,5,38.4751,2.315,1.49161,1
1,5,5,38.4746,2.27657,1.44513,1
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,41.8944,3.92474,2.49884,0.900609
1,5,10,38.4747,3.83168,2.46901,0.900406
1,5,20,47.2665,6.15161,3.51475,0.702203
1,5,20,45.4079,6.81071,4.04196,0.7771
1,5,20,40.3964,6.76425,4.13919,0.801383
1,5,30,40.2322,11.603,6.83871,0.849448
1,5,30,42.0177,11.6928,6.82411,0.868047
1,5,30,41.5873,10.7999,6.27156,0.817046
1,5,40,41.8032,15.6483,9.12555,0.785382
1,5,40,42.8496,19.7613,10.9632,0.751987
1,5,40,45.304,15.7144,8.84129,0.774608
1,10,5,41.8952,2.16371,1.4008,0.900706
1,10,5,37.7403,2.28016,1.44078,0.904541
1,10,5,38.476,2.29796,1.49563,1
1,10,10,42.8728,3.18154,2.10394,0.700304
1,10,10,40.2849,3.80077,2.54162,0.850304
1,10,10,40.094,4.19297,2.82219,0.950203
1,10,20,41.2359,7.39744,4.84588,0.824539
1,10,20,43.1358,7.52265,5.05578,0.826178
1,10,20,39.4052,7.47268,4.95991,0.825256
1,10,30,41.8562,10.5361,6.74803,0.703106
1,10,30,42.0583,11.7138,7.61427,0.783264
1,10,30,39.7033,12.2764,7.81567,0.799793
1,10,40,41.1766,18.0678,10.6111,0.698013
1,10,40,46.0104,13.8412,9.29973,0.663991
1,10,40,42.3227,45.4952,20.9714,0.70523
1,20,5,38.4756,2.41856,1.61763,1
1,20,5,46.1711,2.10321,1.35067,0.801009
1,20,5,41.8959,2.24415,1.4833,0.900706
1,20,10,36.8544,4.23267,2.90754,0.949899
1,20,10,42.3221,3.89747,2.72761,0.800507
1,20,10,43.9063,4.09347,2.81807,0.85
1,20,20,39.4664,7.70074,5.48961,0.776998
1,20,20,41.8923,6.85429,4.91723,0.676793
1,20,20,41.8934,6.69487,4.65568,0.677664
1,20,30,41.224,11.44,7.91572,0.733782
1,20,30,40.2276,33.1522,22.7817,0.749068
1,20,30,35.0781,14.7751,10.0744,0.665528
1,20,40,37.5315,154.274,68.0519,0.691056
1,20,40,40.249,82.861,20.3439,0.625392
1,20,40,34.4908,77.8424,30.9573,0.698614
1,30,5,38.4759,2.60266,1.82717,1
1,30,5,41.8961,2.39307,1.63605,0.900505
1,30,5,38.4755,2.53667,1.77473,1
1,30,10,38.4748,4.31417,3.07486,0.900609
1,30,10,38.4746,4.4067,3.17204,0.899797
1,30,10,41.8705,5.51373,3.502,0.89716
1,30,20,38.4349,8.2288,5.95665,0.751127
1,30,20,41.4382,8.16984,6.04475,0.776383
1,30,20,43.4324,8.66392,6.44247,0.777561
1,30,30,37.8811,106.814,13.9738,0.636301
1,30,30,34.4195,47.4611,23.2427,0.670531
1,30,30,39.5078,12.3901,8.40299,0.635749
1,30,40,25.2318,218.408,105.861,0.554106
1,30,40,28.095,157.48,104.482,0.621287
1,30,40,30.4549,199.355,93.1699,0.591083
1,40,5,41.8955,2.62706,1.9372,0.900101
1,40,5,38.4758,2.85748,2.11835,1
1,40,5,41.8645,3.95902,2.40674,0.897074
1,40,10,35.0529,4.87504,3.70825,0.898986
1,40,10,41.8864,5.24038,3.93332,0.900101
1,40,10,38.4669,5.18434,3.87828,0.899189
1,40,20,37.2294,10.5762,7.34621,0.800922
1,40,20,38.2207,9.25711,7.5053,0.67833
1,40,20,40.1575,103.724,7.01512,0.775871
1,40,30,30.3449,96.0361,50.5687,0.684403
1,40,30,30.8109,109.974,59.2051,0.707315
1,40,30,31.936,102.694,50.4897,0.662388
1,40,40,21.9698,292.547,189.613,0.545162
1,40,40,27.1909,233.513,147.478,0.65557
1,40,40,27.8755,271.115,141.553,0.618933
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
1,5,10,43.8994,4.06146,2.46386,0.850101
